"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1674","testFormSuccess","interview-prep-suite","2026-09-14","passed","2026-09-14","com.interview.prep.web.FormTests","Selenium Test","com.interview.prep.web.FormTests","testFormSuccess"
"","2654","testNoFileUpload","interview-prep-suite","2026-09-14","passed","2026-09-14","com.interview.prep.web.FileUploadTests","Selenium Test","com.interview.prep.web.FileUploadTests","testNoFileUpload"
"","5269","testTable","interview-prep-suite","2026-09-14","passed","2026-09-14","com.interview.prep.web.DynamicTableTest","Selenium Test","com.interview.prep.web.DynamicTableTest","testTable"
"","3661","testAutoCompleteByText","interview-prep-suite","2026-09-14","passed","2026-09-14","com.interview.prep.web.AutocompleteTest","Selenium Test","com.interview.prep.web.AutocompleteTest","testAutoCompleteByText"
"","2911","newWindowTest","interview-prep-suite","2026-09-14","passed","2026-09-14","com.interview.prep.web.MultipleWindowsTest","Selenium Test","com.interview.prep.web.MultipleWindowsTest","newWindowTest"
"","3565","testFormDefault","interview-prep-suite","2026-09-14","passed","2026-09-14","com.interview.prep.web.FormTests","Selenium Test","com.interview.prep.web.FormTests","testFormDefault"
"","4914","successFulLoginTest","interview-prep-suite","2026-09-14","passed","2026-09-14","com.interview.prep.web.LoginTest","Selenium Test","com.interview.prep.web.LoginTest","successFulLoginTest"
"","6373","passwordFailureLoginTest","interview-prep-suite","2026-09-14","passed","2026-09-14","com.interview.prep.web.LoginTest","Selenium Test","com.interview.prep.web.LoginTest","passwordFailureLoginTest"
"","5126","dropDownTest","interview-prep-suite","2026-09-14","passed","2026-09-14","com.interview.prep.web.DropDownTest","Selenium Test","com.interview.prep.web.DropDownTest","dropDownTest"
"","2413","testFormFailure","interview-prep-suite","2026-09-14","passed","2026-09-14","com.interview.prep.web.FormTests","Selenium Test","com.interview.prep.web.FormTests","testFormFailure"
"","4808","usernameFailureLoginTest","interview-prep-suite","2026-09-14","passed","2026-09-14","com.interview.prep.web.LoginTest","Selenium Test","com.interview.prep.web.LoginTest","usernameFailureLoginTest"
"","3988","testAutoCompleteByTextContains","interview-prep-suite","2026-09-14","passed","2026-09-14","com.interview.prep.web.AutocompleteTest","Selenium Test","com.interview.prep.web.AutocompleteTest","testAutoCompleteByTextContains"
"","3581","testUploadSuccess","interview-prep-suite","2026-09-14","passed","2026-09-14","com.interview.prep.web.FileUploadTests","Selenium Test","com.interview.prep.web.FileUploadTests","testUploadSuccess"
"","2989","draganddropTestByNewActions","interview-prep-suite","2026-09-14","passed","2026-09-14","com.interview.prep.web.DragAndDropTest","Selenium Test","com.interview.prep.web.DragAndDropTest","draganddropTestByNewActions"
"","4575","locatorsTest","interview-prep-suite","2026-09-14","passed","2026-09-14","com.interview.prep.web.LocatorsTest","Selenium Test","com.interview.prep.web.LocatorsTest","locatorsTest"
"","3075","draganddropTestByOldActions","interview-prep-suite","2026-09-14","passed","2026-09-14","com.interview.prep.web.DragAndDropTest","Selenium Test","com.interview.prep.web.DragAndDropTest","draganddropTestByOldActions"
"","4244","testFileUploadFailure","interview-prep-suite","2026-09-14","passed","2026-09-14","com.interview.prep.web.FileUploadTests","Selenium Test","com.interview.prep.web.FileUploadTests","testFileUploadFailure"
"","10638","slowTest","interview-prep-suite","2026-09-14","passed","2026-09-14","com.interview.prep.web.SlowTest","Selenium Test","com.interview.prep.web.SlowTest","slowTest"
"","4779","subscribeFrameTest","interview-prep-suite","2026-09-14","passed","2026-09-14","com.interview.prep.web.IFrameTest","Selenium Test","com.interview.prep.web.IFrameTest","subscribeFrameTest"
